ID,Title,Type
6100153018,Cell Stem Cell,Journal
6100153018,Cell Stem Cell,Journal
6100153018,Cell Stem Cell,Journal
26038,Endocrine Reviews,Journal
26038,Endocrine Reviews,Journal
19409,Advanced Drug Delivery Reviews,Journal
12216,Molecular Biology and Evolution,Journal
12216,Molecular Biology and Evolution,Journal
12216,Molecular Biology and Evolution,Journal
19014,Nature Cell Biology,Journal
11500153511,ACS Nano,Journal
11500153511,ACS Nano,Journal
11500153511,ACS Nano,Journal
19708,FEMS Microbiology Reviews,Journal
19708,FEMS Microbiology Reviews,Journal
17853,Nano Letters,Journal
17853,Nano Letters,Journal
17853,Nano Letters,Journal
17853,Nano Letters,Journal
17853,Nano Letters,Journal
21206,Nature,Journal
27498,Annual Review of Medicine,Book Series
27498,Annual Review of Medicine,Book Series
28599,Reviews of Geophysics,Journal
17436,Nature Neuroscience,Journal
24254,IEEE Transactions on Pattern Analysis and Machine Intelligence,Journal
24254,IEEE Transactions on Pattern Analysis and Machine Intelligence,Journal
24254,IEEE Transactions on Pattern Analysis and Machine Intelligence,Journal
24254,IEEE Transactions on Pattern Analysis and Machine Intelligence,Journal
24254,IEEE Transactions on Pattern Analysis and Machine Intelligence,Journal
20497,Annual Review of Materials Research,Book Series
24025,Progress in Neurobiology,Journal
17437,Nature Reviews Neuroscience,Journal
146172,Cell Metabolism,Journal
146172,Cell Metabolism,Journal
146172,Cell Metabolism,Journal
22680,Journal of the American Chemical Society,Journal
22680,Journal of the American Chemical Society,Journal
22680,Journal of the American Chemical Society,Journal
22680,Journal of the American Chemical Society,Journal
16115,Nature Biotechnology,Journal
16115,Nature Biotechnology,Journal
16115,Nature Biotechnology,Journal
16115,Nature Biotechnology,Journal
16115,Nature Biotechnology,Journal
21100797856,Journal of Extracellular Vesicles,Journal
21100797856,Journal of Extracellular Vesicles,Journal
13969,"Psychological Science in the Public Interest, Supplement",Journal
21100199127,Advanced Energy Materials,Journal
21100199127,Advanced Energy Materials,Journal
15847,New England Journal of Medicine,Journal
26968,Journal of Photochemistry and Photobiology C: Photochemistry Reviews,Journal
26968,Journal of Photochemistry and Photobiology C: Photochemistry Reviews,Journal
26968,Journal of Photochemistry and Photobiology C: Photochemistry Reviews,Journal
19700188395,Annual Review of Marine Science,Journal
24212,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,Conference Proceedings
24212,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,Conference Proceedings
21706,Annual Review of Genetics,Book Series
12000154482,Annual Review of Biophysics,Book Series
12000154482,Annual Review of Biophysics,Book Series
12000154482,Annual Review of Biophysics,Book Series
12000154482,Annual Review of Biophysics,Book Series
12000154482,Annual Review of Biophysics,Book Series
29709,Reports on Progress in Physics,Journal
21100420314,Energy Storage Materials,Journal
21100420314,Energy Storage Materials,Journal
21100420314,Energy Storage Materials,Journal
16715,Annual Review of Phytopathology,Book Series
21100197947,Nano Energy,Journal
21100197947,Nano Energy,Journal
21100197947,Nano Energy,Journal
5800207366,Nature Protocols,Journal
110325,"Annual Review of Ecology, Evolution, and Systematics",Book Series
110325,"Annual Review of Ecology, Evolution, and Systematics",Book Series
18606,Molecular Cell,Journal
18606,Molecular Cell,Journal
19066,Trends in Cell Biology,Journal
21315,Nature Immunology,Journal
19900191906,Academy of Management Annals,Journal
19900191906,Academy of Management Annals,Journal
22214,Genome Research,Journal
22214,Genome Research,Journal
25037,IEEE Transactions on Evolutionary Computation,Journal
25037,IEEE Transactions on Evolutionary Computation,Journal
25037,IEEE Transactions on Evolutionary Computation,Journal
19700182758,Nature Communications,Journal
19700182758,Nature Communications,Journal
19700182758,Nature Communications,Journal
14816,Trends in Biochemical Sciences,Journal
14816,Trends in Biochemical Sciences,Journal
21100278313,Light: Science and Applications,Journal
21100278313,Light: Science and Applications,Journal
26463,Progress in Lipid Research,Journal
26463,Progress in Lipid Research,Journal
19700173023,Living Reviews in Solar Physics,Journal
19700173023,Living Reviews in Solar Physics,Journal
21100778827,Nature Methods,Journal
21100778827,Nature Methods,Journal
21100778827,Nature Methods,Journal
21100778827,Nature Methods,Journal
19614,Annual Review of Microbiology,Book Series
20313,Nature Reviews Microbiology,Journal
25143,Advanced Functional Materials,Journal
25143,Advanced Functional Materials,Journal
25143,Advanced Functional Materials,Journal
25143,Advanced Functional Materials,Journal
71056,MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC,Journal
71056,MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC,Journal
71056,MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC,Journal
71056,MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC,Journal
23470,Coordination Chemistry Reviews,Journal
13037,Annual Review of Biomedical Engineering,Book Series
13037,Annual Review of Biomedical Engineering,Book Series
12402,MIS Quarterly: Management Information Systems,Journal
12402,MIS Quarterly: Management Information Systems,Journal
12402,MIS Quarterly: Management Information Systems,Journal
12402,MIS Quarterly: Management Information Systems,Journal
19584,Annual Review of Public Health,Journal
19584,Annual Review of Public Health,Journal
15090,Progress in Retinal and Eye Research,Journal
15090,Progress in Retinal and Eye Research,Journal
21100200203,Wiley Interdisciplinary Reviews: Computational Molecular Science,Journal
21100200203,Wiley Interdisciplinary Reviews: Computational Molecular Science,Journal
21100200203,Wiley Interdisciplinary Reviews: Computational Molecular Science,Journal
21100200203,Wiley Interdisciplinary Reviews: Computational Molecular Science,Journal
21100200203,Wiley Interdisciplinary Reviews: Computational Molecular Science,Journal
24769,Materials Today,Journal
24769,Materials Today,Journal
24769,Materials Today,Journal
24769,Materials Today,Journal
21195,Pharmacology and Therapeutics,Journal
21195,Pharmacology and Therapeutics,Journal
23038,ACM Computing Surveys,Journal
23038,ACM Computing Surveys,Journal
17978,Neuron,Journal
40944,Genome Biology,Journal
40944,Genome Biology,Journal
40944,Genome Biology,Journal
72242,International Journal of Computer Vision,Journal
72242,International Journal of Computer Vision,Journal
72242,International Journal of Computer Vision,Journal
15461,Biotechnology Advances,Journal
15870,Journal of Clinical Investigation,Journal
29488,Progress in Particle and Nuclear Physics,Journal
12286,Surface Science Reports,Journal
12286,Surface Science Reports,Journal
12286,Surface Science Reports,Journal
12286,Surface Science Reports,Journal
12286,Surface Science Reports,Journal
12286,Surface Science Reports,Journal
22687,Angewandte Chemie - International Edition,Journal
22687,Angewandte Chemie - International Edition,Journal
14599,Ecology Letters,Journal
21365,Trends in Immunology,Journal
21365,Trends in Immunology,Journal
17249,IEEE Communications Magazine,Journal
17249,IEEE Communications Magazine,Journal
17249,IEEE Communications Magazine,Journal
14365,Trends in Ecology and Evolution,Journal
21100401152,Microbiome,Journal
21100401152,Microbiome,Journal
4000151822,Nature Physics,Journal
15359,Trends in Cognitive Sciences,Journal
15359,Trends in Cognitive Sciences,Journal
15359,Trends in Cognitive Sciences,Journal
19939,Trends in Neurosciences,Journal
12611,Drug Resistance Updates,Journal
12611,Drug Resistance Updates,Journal
12611,Drug Resistance Updates,Journal
12611,Drug Resistance Updates,Journal
12611,Drug Resistance Updates,Journal
19700188320,ACS Catalysis,Journal
21100327726,Applied Physics Reviews,Journal
12354,The Lancet Oncology,Journal
21272,Journal of Experimental Medicine,Journal
21272,Journal of Experimental Medicine,Journal
4700152457,Nano Today,Journal
4700152457,Nano Today,Journal
4700152457,Nano Today,Journal
4700152457,Nano Today,Journal
4700152457,Nano Today,Journal
19084,Molecular Aspects of Medicine,Journal
19084,Molecular Aspects of Medicine,Journal
19084,Molecular Aspects of Medicine,Journal
19084,Molecular Aspects of Medicine,Journal
19084,Molecular Aspects of Medicine,Journal
20425,Nature Reviews Drug Discovery,Journal
20425,Nature Reviews Drug Discovery,Journal
20425,Nature Reviews Drug Discovery,Journal
15623,Human Reproduction Update,Journal
15623,Human Reproduction Update,Journal
29949,Journal of Clinical Oncology,Journal
29949,Journal of Clinical Oncology,Journal
12854,Clinical Psychology Review,Journal
12854,Clinical Psychology Review,Journal
21100201772,Physical Review X,Journal
21100198409,Nature Climate Change,Journal
21100198409,Nature Climate Change,Journal
21100403931,Materials Horizons,Journal
21100403931,Materials Horizons,Journal
21100403931,Materials Horizons,Journal
21100403931,Materials Horizons,Journal
24535,Acta Numerica,Journal
24535,Acta Numerica,Journal
19300156903,Foundations and Trends in Machine Learning,Journal
19300156903,Foundations and Trends in Machine Learning,Journal
19300156903,Foundations and Trends in Machine Learning,Journal
16146,Trends in Biotechnology,Journal
16146,Trends in Biotechnology,Journal
26055,IEEE Transactions on Power Electronics,Journal
5300152732,Cell Host and Microbe,Journal
5300152732,Cell Host and Microbe,Journal
5300152732,Cell Host and Microbe,Journal
110561,Proceedings of the IEEE International Conference on Computer Vision,Conference Proceedings
110561,Proceedings of the IEEE International Conference on Computer Vision,Conference Proceedings
16795,Journal of Pineal Research,Journal
29993,Annual Review of Nutrition,Book Series
29993,Annual Review of Nutrition,Book Series
21100338350,IEEE Internet of Things Journal,Journal
21100338350,IEEE Internet of Things Journal,Journal
21100338350,IEEE Internet of Things Journal,Journal
21100338350,IEEE Internet of Things Journal,Journal
21100338350,IEEE Internet of Things Journal,Journal
13140,Epidemiologic Reviews,Journal
13140,Epidemiologic Reviews,Journal
22126,Genes and Development,Journal
22126,Genes and Development,Journal
22321,Trends in Pharmacological Sciences,Journal
22321,Trends in Pharmacological Sciences,Journal
27130,Progress in Quantum Electronics,Journal
27130,Progress in Quantum Electronics,Journal
27130,Progress in Quantum Electronics,Journal
27130,Progress in Quantum Electronics,Journal
16860,The Lancet Neurology,Journal
12394,Nature Structural and Molecular Biology,Journal
12394,Nature Structural and Molecular Biology,Journal
27567,Renewable and Sustainable Energy Reviews,Journal
64345,Ecological Monographs,Journal
18567,Fungal Diversity,Journal
18567,Fungal Diversity,Journal
18567,Fungal Diversity,Journal
4000148205,Nature Chemical Biology,Journal
4000148205,Nature Chemical Biology,Journal
4400151524,Particle and Fibre Toxicology,Journal
4400151524,Particle and Fibre Toxicology,Journal
4400151524,Particle and Fibre Toxicology,Journal
17552,Acta Neuropathologica,Journal
17552,Acta Neuropathologica,Journal
17552,Acta Neuropathologica,Journal
13564,Educational Psychologist,Journal
21100228547,JAMA Psychiatry,Journal
26371,Natural Product Reports,Journal
26371,Natural Product Reports,Journal
26371,Natural Product Reports,Journal
28366,Gut,Journal
14204,Nucleic Acids Research,Journal
26053,IEEE Transactions on Industrial Electronics,Journal
26053,IEEE Transactions on Industrial Electronics,Journal
18935,IEEE Wireless Communications,Journal
18935,IEEE Wireless Communications,Journal
17382,Molecular Psychiatry,Journal
17382,Molecular Psychiatry,Journal
17382,Molecular Psychiatry,Journal
18045,Neuroscience and Biobehavioral Reviews,Journal
18045,Neuroscience and Biobehavioral Reviews,Journal
18045,Neuroscience and Biobehavioral Reviews,Journal
18503,Current Opinion in Cell Biology,Journal
21708,Annual Review of Genomics and Human Genetics,Book Series
21708,Annual Review of Genomics and Human Genetics,Book Series
21708,Annual Review of Genomics and Human Genetics,Book Series
21100207003,Theranostics,Journal
21100207003,Theranostics,Journal
20810,Immunological Reviews,Journal
20810,Immunological Reviews,Journal
21119,International Materials Reviews,Journal
21119,International Materials Reviews,Journal
21119,International Materials Reviews,Journal
21119,International Materials Reviews,Journal
12996,IEEE Signal Processing Magazine,Journal
12996,IEEE Signal Processing Magazine,Journal
12996,IEEE Signal Processing Magazine,Journal
20205,Trends in Molecular Medicine,Journal
20205,Trends in Molecular Medicine,Journal
26769,"Astrophysical Journal, Supplement Series",Journal
26769,"Astrophysical Journal, Supplement Series",Journal
19049,Trends in Genetics,Journal
80280,Biochimica et Biophysica Acta - Reviews on Cancer,Journal
80280,Biochimica et Biophysica Acta - Reviews on Cancer,Journal
80280,Biochimica et Biophysica Acta - Reviews on Cancer,Journal
5800173382,ISME Journal,Journal
5800173382,ISME Journal,Journal
12878,Chemistry of Materials,Journal
12878,Chemistry of Materials,Journal
12878,Chemistry of Materials,Journal
28200,Biomaterials,Journal
28200,Biomaterials,Journal
28200,Biomaterials,Journal
28200,Biomaterials,Journal
28200,Biomaterials,Journal
19700180594,Handbook of International Economics,Book Series
19700180594,Handbook of International Economics,Book Series
19700180594,Handbook of International Economics,Book Series
19700180594,Handbook of International Economics,Book Series
21359,Seminars in Immunology,Journal
21359,Seminars in Immunology,Journal
16343,Applied Catalysis B: Environmental,Journal
16343,Applied Catalysis B: Environmental,Journal
16343,Applied Catalysis B: Environmental,Journal
24069,Green Chemistry,Journal
24069,Green Chemistry,Journal
23860,Journal of Business Venturing,Journal
23860,Journal of Business Venturing,Journal
19907,Medicinal Research Reviews,Journal
19907,Medicinal Research Reviews,Journal
19907,Medicinal Research Reviews,Journal
19400156815,Annual Review of Analytical Chemistry,Book Series
17809,Trends in Plant Science,Journal
15131,Global Change Biology,Journal
15131,Global Change Biology,Journal
15131,Global Change Biology,Journal
15131,Global Change Biology,Journal
5100155078,Foundations and Trends in Computer Graphics and Vision,Journal
144840,PLoS Medicine,Journal
18902,IEEE Journal on Selected Areas in Communications,Journal
18902,IEEE Journal on Selected Areas in Communications,Journal
7500153133,Laser and Photonics Reviews,Journal
7500153133,Laser and Photonics Reviews,Journal
7500153133,Laser and Photonics Reviews,Journal
5100155071,Foundations and Trends in Information Retrieval,Journal
5100155071,Foundations and Trends in Information Retrieval,Journal
19700176402,Cold Spring Harbor perspectives in biology,Journal
26746,Trends in Endocrinology and Metabolism,Journal
26746,Trends in Endocrinology and Metabolism,Journal
21121,Proceedings of the National Academy of Sciences of the United States of America,Journal
3600148102,Alzheimer's and Dementia,Journal
3600148102,Alzheimer's and Dementia,Journal
3600148102,Alzheimer's and Dementia,Journal
3600148102,Alzheimer's and Dementia,Journal
3600148102,Alzheimer's and Dementia,Journal
3600148102,Alzheimer's and Dementia,Journal
3600148102,Alzheimer's and Dementia,Journal
15579,Current Opinion in Biotechnology,Journal
15579,Current Opinion in Biotechnology,Journal
15579,Current Opinion in Biotechnology,Journal
29183,Cancer Research,Journal
29183,Cancer Research,Journal
24046,Seminars in Cancer Biology,Journal
21100232403,Journal of Materials Chemistry A,Journal
21100232403,Journal of Materials Chemistry A,Journal
21100232403,Journal of Materials Chemistry A,Journal
29213,Cancer Treatment Reviews,Journal
29213,Cancer Treatment Reviews,Journal
29213,Cancer Treatment Reviews,Journal
19700200838,Chemical Science,Journal
21677,American Journal of Human Genetics,Journal
21677,American Journal of Human Genetics,Journal
24242,IEEE Transactions on Fuzzy Systems,Journal
24242,IEEE Transactions on Fuzzy Systems,Journal
24242,IEEE Transactions on Fuzzy Systems,Journal
24242,IEEE Transactions on Fuzzy Systems,Journal
20191,Academy of Management Journal,Journal
20191,Academy of Management Journal,Journal
20191,Academy of Management Journal,Journal
20191,Academy of Management Journal,Journal
22581,Circulation,Journal
22581,Circulation,Journal
14305,Systematic Biology,Journal
14305,Systematic Biology,Journal
21100201068,Cell Reports,Journal
12812,Personality and Social Psychology Review,Journal
29263,Clinical Cancer Research,Journal
29263,Clinical Cancer Research,Journal
16339,Metabolic Engineering,Journal
16339,Metabolic Engineering,Journal
16339,Metabolic Engineering,Journal
19700174891,Perspectives in Medicinal Chemistry,Journal
19700174891,Perspectives in Medicinal Chemistry,Journal
19700174891,Perspectives in Medicinal Chemistry,Journal
19700174891,Perspectives in Medicinal Chemistry,Journal
144912,IEEE Transactions on Industrial Informatics,Journal
144912,IEEE Transactions on Industrial Informatics,Journal
144912,IEEE Transactions on Industrial Informatics,Journal
144912,IEEE Transactions on Industrial Informatics,Journal
21100196101,Annual review of food science and technology,Journal
20689,Autoimmunity Reviews,Journal
20689,Autoimmunity Reviews,Journal
22005,Annual Review of Earth and Planetary Sciences,Book Series
22005,Annual Review of Earth and Planetary Sciences,Book Series
22005,Annual Review of Earth and Planetary Sciences,Book Series
23239,Land Degradation and Development,Journal
23239,Land Degradation and Development,Journal
23239,Land Degradation and Development,Journal
23239,Land Degradation and Development,Journal
4700152228,Molecular Systems Biology,Journal
4700152228,Molecular Systems Biology,Journal
4700152228,Molecular Systems Biology,Journal
4700152228,Molecular Systems Biology,Journal
4700152228,Molecular Systems Biology,Journal
19700182323,Perspectives on Psychological Science,Journal
29431,Quarterly Journal of Economics,Journal
8000153138,Computer Science Review,Journal
8000153138,Computer Science Review,Journal
19600166212,Journal of Physical Chemistry Letters,Journal
28825,IEEE Transactions on Power Systems,Journal
28825,IEEE Transactions on Power Systems,Journal
23063,Circulation Research,Journal
23063,Circulation Research,Journal
26111,Frontiers in Neuroendocrinology,Journal
3200147828,Small,Journal
3200147828,Small,Journal
3200147828,Small,Journal
28711,Annals of Oncology,Journal
28711,Annals of Oncology,Journal
30867,TrAC - Trends in Analytical Chemistry,Journal
30867,TrAC - Trends in Analytical Chemistry,Journal
17600155041,Nature Geoscience,Journal
28475,Ageing Research Reviews,Journal
28475,Ageing Research Reviews,Journal
28475,Ageing Research Reviews,Journal
28475,Ageing Research Reviews,Journal
28475,Ageing Research Reviews,Journal
21100407195,Optica,Journal
21100407195,Optica,Journal
19136,Annals of the Rheumatic Diseases,Journal
19136,Annals of the Rheumatic Diseases,Journal
19136,Annals of the Rheumatic Diseases,Journal
19136,Annals of the Rheumatic Diseases,Journal
13363,Obesity Reviews,Journal
13363,Obesity Reviews,Journal
26533,Advances in Colloid and Interface Science,Journal
26533,Advances in Colloid and Interface Science,Journal
26533,Advances in Colloid and Interface Science,Journal
17378,Critical Reviews in Biochemistry and Molecular Biology,Journal
17378,Critical Reviews in Biochemistry and Molecular Biology,Journal
22401,Journal of the American College of Cardiology,Journal
9500153903,Biological Reviews,Journal
9500153903,Biological Reviews,Journal
19700170610,IEEE Transactions on Smart Grid,Journal
4100151532,Advances in Experimental Social Psychology,Book Series
22580,Earth-Science Reviews,Journal
27239,IEEE Network,Journal
27239,IEEE Network,Journal
27239,IEEE Network,Journal
27239,IEEE Network,Journal
19700177027,IEEE Transactions on Sustainable Energy,Journal
28801,Applied Energy,Journal
28801,Applied Energy,Journal
28801,Applied Energy,Journal
28801,Applied Energy,Journal
28801,Applied Energy,Journal
19600166310,EMBO Molecular Medicine,Journal
21100261712,Analytic Methods in Accident Research,Journal
21100261712,Analytic Methods in Accident Research,Journal
12137,Journal of Statistical Software,Journal
12137,Journal of Statistical Software,Journal
12137,Journal of Statistical Software,Journal
21928,Fish and Fisheries,Journal
21928,Fish and Fisheries,Journal
21928,Fish and Fisheries,Journal
21928,Fish and Fisheries,Journal
16594,Plant Cell,Journal
16594,Plant Cell,Journal
100147317,Journal of Supply Chain Management,Journal
100147317,Journal of Supply Chain Management,Journal
100147317,Journal of Supply Chain Management,Journal
22928,Journal of Interactive Marketing,Journal
22928,Journal of Interactive Marketing,Journal
14308,Biological Psychiatry,Journal
36483,Global Environmental Change,Journal
36483,Global Environmental Change,Journal
36483,Global Environmental Change,Journal
36483,Global Environmental Change,Journal
19700171101,ACS applied materials & interfaces,Journal
21100203113,Comprehensive Physiology,Journal
21100203113,Comprehensive Physiology,Journal
21100203113,Comprehensive Physiology,Journal
23010,Journal of Controlled Release,Journal
12600154733,National health statistics reports,Book Series
26556,Catalysis Reviews - Science and Engineering,Journal
26556,Catalysis Reviews - Science and Engineering,Journal
26556,Catalysis Reviews - Science and Engineering,Journal
20206,Academy of Management Review,Journal
20206,Academy of Management Review,Journal
20206,Academy of Management Review,Journal
18795,Water Research,Journal
18795,Water Research,Journal
18795,Water Research,Journal
18795,Water Research,Journal
25491,Diabetes Care,Journal
25491,Diabetes Care,Journal
25491,Diabetes Care,Journal
28371,Hepatology,Journal
17924,Current Opinion in Plant Biology,Journal
19700173215,Nanoscale,Journal
19700175052,Clinical Epidemiology,Journal
18797,Current Opinion in Immunology,Journal
18797,Current Opinion in Immunology,Journal
21268,Journal of Autoimmunity,Journal
21268,Journal of Autoimmunity,Journal
25297,Journal of Hepatology,Journal
28800,Annual Review of Environment and Resources,Book Series
22647,Gondwana Research,Journal
23183,European Heart Journal,Journal
17915,Proceedings of the IEEE,Journal
14992,Current Opinion in Neurobiology,Journal
20862,Trends in Microbiology,Journal
20862,Trends in Microbiology,Journal
20862,Trends in Microbiology,Journal
20862,Trends in Microbiology,Journal
21100248838,Stem Cell Reports,Journal
21100248838,Stem Cell Reports,Journal
21100248838,Stem Cell Reports,Journal
21100248838,Stem Cell Reports,Journal
20912,Environmental International,Journal
13900,Cell Research,Journal
13900,Cell Research,Journal
14317,Brain,Journal
24085,Progress in Nuclear Magnetic Resonance Spectroscopy,Journal
24085,Progress in Nuclear Magnetic Resonance Spectroscopy,Journal
24085,Progress in Nuclear Magnetic Resonance Spectroscopy,Journal
24085,Progress in Nuclear Magnetic Resonance Spectroscopy,Journal
21100217611,Methods in Ecology and Evolution,Journal
21100217611,Methods in Ecology and Evolution,Journal
21100284918,Earth System Science Data,Journal
27165,Journal of Economic Literature,Journal
26947,Journal of Catalysis,Journal
26947,Journal of Catalysis,Journal
15437,Biosensors and Bioelectronics,Journal
15437,Biosensors and Bioelectronics,Journal
15437,Biosensors and Bioelectronics,Journal
15437,Biosensors and Bioelectronics,Journal
15437,Biosensors and Bioelectronics,Journal
5800207505,IEEE Industrial Electronics Magazine,Journal
5800207505,IEEE Industrial Electronics Magazine,Journal
19700174677,Science Translational Medicine,Journal
13467,Psychological Review,Journal
22330,Organizational Research Methods,Journal
22330,Organizational Research Methods,Journal
22330,Organizational Research Methods,Journal
21100274221,IEEE Transactions on Cybernetics,Journal
21100274221,IEEE Transactions on Cybernetics,Journal
21100274221,IEEE Transactions on Cybernetics,Journal
21100274221,IEEE Transactions on Cybernetics,Journal
21100274221,IEEE Transactions on Cybernetics,Journal
21100274221,IEEE Transactions on Cybernetics,Journal
4000151805,Foundations and Trends in Communications and Information Theory,Journal
4000151805,Foundations and Trends in Communications and Information Theory,Journal
17435,EMBO Journal,Journal
17435,EMBO Journal,Journal
17435,EMBO Journal,Journal
17435,EMBO Journal,Journal
21100368204,Cancer immunology research,Journal
21100368204,Cancer immunology research,Journal
14179,Annals of Neurology,Journal
14179,Annals of Neurology,Journal
17399,Current Opinion in Chemical Biology,Journal
17399,Current Opinion in Chemical Biology,Journal
29646,Progress in Surface Science,Journal
29646,Progress in Surface Science,Journal
29646,Progress in Surface Science,Journal
4900152301,Comprehensive Reviews in Food Science and Food Safety,Journal
21100338359,IEEE Journal of Emerging and Selected Topics in Power Electronics,Journal
21100338359,IEEE Journal of Emerging and Selected Topics in Power Electronics,Journal
17500,Journal of Finance,Journal
17500,Journal of Finance,Journal
17500,Journal of Finance,Journal
28330,Gastroenterology,Journal
26756,Astronomy and Astrophysics Review,Journal
26756,Astronomy and Astrophysics Review,Journal
12074,Bulletin of the American Meteorological Society,Journal
19700178100,"Nanotechnology, Science and Applications",Journal
19700178100,"Nanotechnology, Science and Applications",Journal
21100398001,Bone Research,Journal
21100398001,Bone Research,Journal
